pivot_id,area_ha,season,aeti_mm,npp_gC_m2,pcp_mm,is_active,biomass_dry_kg_ha,water_consumed_m3_ha,cwp,niwr_mm,demand_vol_m3,abstraction_vol_m3
32,50.21280856,2022/23,0,0,0.1,0,0,0,,0,0,0
33,64.83375202,2022/23,0,0,0.1,0,0,0,,0,0,0
34,63.99901747,2022/23,0,0,0.1,0,0,0,,0,0,0
35,49.85596123,2022/23,322.1191281,253.4546299,0.1,1,5626.692784,3221.191281,1.746773877,322.0391281,160555.7029,188889.0622
36,50.41790664,2022/23,0,0,0.1,0,0,0,,0,0,0
37,50.45592597,2022/23,0,0,0.1,0,0,0,,0,0,0
38,49.53557934,2022/23,0,0,0.1,0,0,0,,0,0,0
39,49.05310036,2022/23,281.3322262,199.9218151,0.1,1,4438.264295,2813.322262,1.577588304,281.2522262,137962.9368,162309.3374
40,47.55674987,2022/23,324.3124532,234.9390197,0.1,1,5215.646237,3243.124532,1.608216455,324.2324532,154194.4167,181405.1962
41,64.04012793,2022/23,387.6293917,270.0985496,0.1,1,5996.1878,3876.293917,1.546886776,387.5493917,248187.1262,291984.8544
42,35.17081223,2022/23,0,0,0.1,0,0,0,,0,0,0
43,64.40459258,2022/23,0,0,0.1,0,0,0,,0,0,0
44,60.70273094,2022/23,0,0,0.1,0,0,0,,0,0,0
45,49.73307878,2022/23,436.7684164,340.3441032,0.1,1,7555.639091,4367.684164,1.729895938,436.6884164,217178.5941,255504.2284
46,49.245055,2022/23,438.0255204,515.1014317,0.1,1,11435.25178,4380.255204,2.610635968,437.9455204,215666.5124,253725.3087
47,36.27660184,2022/23,461.6416049,360.5513951,0.1,1,8004.24097,4616.416049,1.733864731,461.5616049,167438.8657,196986.9008
48,62.870891,2022/23,479.0768855,568.8820824,0.1,1,12629.18223,4790.768855,2.636149356,478.9968855,301149.6098,354293.6586
49,64.49604488,2022/23,455.8012195,529.4454553,0.1,1,11753.68911,4558.012195,2.578687508,455.7212195,293922.1623,345790.7791
50,63.64931877,2022/23,429.118394,330.945267,0.1,1,7346.984927,4291.18394,1.712111396,429.038394,273080.015,321270.6059
51,64.19820521,2022/23,0,0,0.1,0,0,0,,0,0,0
52,19.79095715,2022/23,414.6292857,320.8398881,0.1,1,7122.645516,4146.292857,1.717834644,414.5492857,82043.27149,96521.49587
53,64.36478544,2022/23,295.5275323,187.2199436,0.1,1,4156.282747,2955.275323,1.406394428,295.4475323,190164.1702,223722.5532
54,63.86079285,2022/23,0,0,0.1,0,0,0,,0,0,0
55,61.76188684,2022/23,354.4418621,241.9943397,0.1,1,5372.274342,3544.418621,1.515699729,354.3618621,218860.5723,257483.0262
56,64.30923392,2022/23,350.2680982,392.2665719,0.1,1,8708.317897,3502.680982,2.486186422,350.1880982,225203.2832,264945.0391
57,47.45306591,2022/23,303.1374053,216.32209,0.1,1,4802.350397,3031.374053,1.58421571,303.0574053,143810.0303,169188.2709
58,34.87869821,2022/23,341.9797419,255.0615406,0.1,1,5662.366202,3419.797419,1.65576071,341.8997419,119250.1792,140294.3284
59,50.79479782,2022/23,317.3441434,230.6176294,0.1,1,5119.711372,3173.441434,1.613299467,317.2641434,161153.6802,189592.5649
60,49.4180298,2022/23,352.9547085,237.1792143,0.1,1,5265.378559,3529.547085,1.491800061,352.8747085,174383.7286,205157.3278
61,62.23620892,2022/23,346.2462676,356.5222437,0.1,1,7914.793809,3462.462676,2.285885669,346.1662676,215440.7615,253459.7194
62,63.62685226,2022/23,0,0,0.1,0,0,0,,0,0,0
63,64.59855014,2022/23,363.9860811,250.815477,0.1,1,5568.10359,3639.860811,1.529757285,363.9060811,235078.0523,276562.4144
64,67.17748642,2022/23,372.4804418,251.4209019,0.1,1,5581.544022,3724.804418,1.498479758,372.4004418,250169.2562,294316.7721
65,60.02513068,2022/23,0,0,0.1,0,0,0,,0,0,0
